Customer_ID,Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure,Number_of_Purchases,Customer_Support_Requests,Login_Frequency,Last_Activity_Date,Satisfaction_Score,Churn_Status
CUST-0069,21,Female,New York,Standard,30.71,12,2,1,4,2025-12-23,4,0
CUST-0070,19,Female,New York,Basic,12.65,4,1,5,2,2026-01-03,2,1
CUST-0071,23,Female,Los Angeles,Basic,24.34,24,8,5,14,2025-12-31,1,1
CUST-0072,59,Female,Los Angeles,Basic,11.06,29,1,6,3,2026-06-17,4,0
CUST-0073,21,Female,Houston,Basic,15.32,9,8,4,18,2026-02-06,3,0
CUST-0074,46,Female,Houston,Standard,37.55,4,3,7,21,2026-05-06,1,1
CUST-0075,35,Male,Houston,Premium,62.4,51,11,6,6,2026-06-12,2,0
CUST-0076,43,Female,Los Angeles,Standard,30.06,24,12,1,11,2026-01-11,3,0
CUST-0077,61,Male,Los Angeles,Standard,37.52,14,1,0,21,2026-05-19,5,0
CUST-0078,51,Male,Houston,Basic,15.76,5,9,8,18,2026-03-29,3,0
CUST-0079,27,Female,Houston,Basic,24.58,18,0,4,12,2026-02-09,2,1
CUST-0080,53,Male,Miami,Basic,12.39,42,3,4,5,2026-04-17,3,1
CUST-0081,31,Male,Houston,Standard,35.31,57,8,9,9,2026-03-07,2,1
CUST-0082,48,Male,Miami,Premium,61.29,19,11,3,20,2026-05-18,1,0
CUST-0083,65,Female,Chicago,Standard,35.86,12,8,1,28,2026-03-28,4,0
CUST-0084,32,Male,Los Angeles,Basic,19.99,18,3,4,26,2026-03-25,5,0
CUST-0085,25,Male,Houston,Basic,13.23,17,8,1,18,2026-01-19,4,0
CUST-0086,31,Male,Los Angeles,Standard,33.32,30,14,6,19,2026-04-27,4,0
CUST-0087,40,Male,Los Angeles,Basic,20.94,24,11,8,3,2026-02-04,4,0
CUST-0088,57,Male,Los Angeles,Premium,62.5,11,5,8,9,2026-06-04,2,1
CUST-0089,38,Male,Chicago,Premium,61.23,35,0,5,4,2026-01-23,2,1
CUST-0090,33,Female,New York,Standard,32.54,23,9,0,17,2026-01-31,5,0
CUST-0091,62,Male,Houston,Basic,12.81,17,12,5,17,2026-02-10,2,1
CUST-0092,35,Male,New York,Basic,10.16,1,13,4,23,2026-06-17,2,1
CUST-0093,64,Male,New York,Basic,11.37,15,5,3,23,2026-06-14,2,1
CUST-0094,41,Male,New York,Basic,18.35,32,8,5,2,2026-05-26,2,1
CUST-0095,43,Female,Los Angeles,Basic,23.38,9,12,5,9,2026-05-28,1,1
CUST-0096,42,Female,Miami,Standard,34.31,15,1,5,9,2026-06-11,5,0
CUST-0097,62,Male,Los Angeles,Standard,34.92,28,5,1,5,2026-06-08,2,1
CUST-0098,58,Male,Los Angeles,Basic,11.73,24,1,6,15,2026-02-16,5,0
CUST-0099,46,Male,New York,Basic,15.83,35,3,3,15,2025-12-31,3,0
CUST-0100,32,Female,Los Angeles,Basic,10.56,22,14,8,3,2026-05-13,1,1
CUST-0101,62,Female,New York,Basic,23.76,27,7,9,19,2026-01-25,2,1
CUST-0102,18,Female,Miami,Premium,65.1,19,12,1,28,2025-12-24,1,0
CUST-0103,42,Male,Houston,Basic,24.86,45,6,4,3,2026-06-02,1,1
CUST-0104,24,Female,New York,Basic,23.24,12,10,3,6,2026-04-06,3,0
CUST-0105,26,Male,Miami,Basic,17.09,20,11,8,4,2026-04-30,5,1
CUST-0106,41,Male,Houston,Premium,62.8,1,12,3,24,2025-12-28,1,1
CUST-0107,18,Male,Chicago,Standard,32.86,21,8,7,13,2026-02-21,4,0
CUST-0108,61,Male,New York,Basic,16.93,49,6,7,27,2026-01-14,3,0
CUST-0109,25,Female,New York,Standard,43.55,45,0,5,13,2026-05-06,4,1
CUST-0110,41,Female,Chicago,Standard,30.76,1,1,5,27,2026-01-23,3,1
CUST-0111,28,Male,Chicago,Premium,67.95,10,5,7,11,2026-04-07,4,0
CUST-0112,68,Female,New York,Basic,15.11,47,6,9,5,2026-02-17,4,1
CUST-0113,34,Female,Chicago,Premium,68.49,59,2,8,1,2026-05-04,1,1
CUST-0114,25,Female,Los Angeles,Premium,69.11,59,8,4,9,2026-04-20,1,1
CUST-0115,52,Female,Houston,Premium,65.06,32,12,0,17,2026-04-24,3,0
CUST-0116,52,Female,Houston,Standard,39.97,39,14,0,22,2026-06-03,5,0
CUST-0117,50,Female,Houston,Standard,36.79,22,6,1,1,2026-03-05,1,0
CUST-0118,22,Female,Los Angeles,Basic,22.53,18,13,9,3,2026-05-04,1,1
CUST-0119,59,Male,Chicago,Standard,44.42,48,5,9,15,2026-04-19,2,1
CUST-0120,56,Male,Miami,Standard,41.63,46,12,4,26,2026-06-09,1,1
CUST-0121,58,Female,Chicago,Standard,39.33,32,5,3,21,2026-05-18,5,0
CUST-0122,45,Male,New York,Basic,19.1,27,0,0,26,2026-03-11,2,0
CUST-0123,24,Female,Houston,Standard,42.74,28,12,3,23,2026-03-26,4,0
CUST-0124,26,Male,Chicago,Premium,63.12,18,4,3,30,2026-05-27,4,0
CUST-0125,25,Male,Miami,Basic,22.06,59,9,9,10,2026-02-09,2,1
CUST-0126,29,Male,New York,Premium,62.63,39,2,3,8,2026-01-31,2,1
CUST-0127,51,Male,Los Angeles,Standard,30.94,49,6,0,12,2026-01-02,2,1
CUST-0128,50,Female,Los Angeles,Premium,60.76,29,9,8,25,2026-05-03,3,1
CUST-0129,65,Female,Miami,Basic,16.67,18,2,2,22,2026-04-04,5,0
CUST-0130,40,Female,New York,Basic,12.12,44,4,3,15,2025-12-28,5,0
CUST-0131,41,Female,Houston,Premium,56.54,8,6,4,27,2026-02-05,4,0
CUST-0132,54,Male,Chicago,Basic,18.03,54,13,6,9,2026-04-27,4,0
CUST-0133,52,Female,New York,Premium,56.28,31,2,5,24,2026-06-03,4,1
CUST-0134,61,Female,Los Angeles,Basic,14.54,34,12,4,25,2026-05-17,1,1
CUST-0135,57,Female,Miami,Standard,41.17,7,12,7,10,2026-01-12,4,0
CUST-0136,39,Male,Miami,Basic,24.47,36,9,0,20,2026-01-20,2,1
CUST-0137,44,Female,Chicago,Standard,40.77,18,1,6,9,2026-06-14,4,0
CUST-0138,52,Female,Miami,Basic,24.89,38,5,5,15,2026-06-08,2,0
CUST-0139,18,Female,Miami,Basic,20.48,59,7,4,23,2026-02-15,3,0
CUST-0140,52,Female,New York,Basic,14.41,9,3,6,21,2026-03-01,1,1
CUST-0141,54,Male,Houston,Basic,20.08,59,8,2,21,2026-04-13,1,1
CUST-0142,64,Female,Chicago,Premium,65.53,9,11,0,1,2026-03-13,5,0
CUST-0143,31,Female,New York,Premium,60.58,46,11,8,2,2026-03-23,3,1
CUST-0144,20,Male,Houston,Basic,10.27,8,14,1,26,2026-05-10,2,0
CUST-0145,18,Female,New York,Standard,40.55,51,7,9,19,2026-03-04,3,1
CUST-0146,22,Female,New York,Basic,10.33,35,6,2,30,2026-01-13,1,1
CUST-0147,43,Male,Miami,Standard,39.47,18,13,7,14,2026-03-03,2,1
CUST-0148,31,Male,Houston,Premium,57.45,5,6,9,8,2026-05-26,3,0
CUST-0149,56,Male,Chicago,Premium,63.48,14,2,8,6,2026-04-06,1,0
CUST-0150,44,Male,Chicago,Basic,17.56,28,13,2,12,2026-05-20,2,1
CUST-0151,26,Male,Houston,Standard,30.2,30,5,5,26,2026-03-22,2,0
CUST-0152,32,Female,Miami,Basic,15.44,4,12,6,27,2026-02-16,1,1
CUST-0153,32,Male,Los Angeles,Premium,64.02,39,12,0,29,2026-02-15,2,1
CUST-0154,43,Male,New York,Basic,22.73,20,4,6,15,2026-04-30,1,1
CUST-0155,59,Female,Miami,Standard,43.33,25,0,3,14,2026-01-24,4,0
CUST-0156,30,Female,Houston,Standard,37.26,28,10,4,21,2026-03-10,4,0
CUST-0157,68,Male,New York,Standard,40.93,12,2,7,29,2026-03-08,2,1
CUST-0158,49,Male,Chicago,Basic,14.75,2,12,3,1,2026-01-04,2,0
CUST-0159,56,Male,Los Angeles,Premium,60.13,43,11,3,28,2026-06-07,1,0
CUST-0160,66,Female,Chicago,Basic,12.92,14,0,7,11,2025-12-31,2,0
CUST-0161,69,Male,Houston,Standard,38.43,22,3,4,28,2026-03-09,5,0
CUST-0162,49,Female,New York,Basic,14.72,31,9,5,25,2026-02-24,4,0
CUST-0163,21,Female,Houston,Basic,11.27,23,2,4,3,2026-05-04,2,1
CUST-0164,47,Male,New York,Standard,40.28,48,10,0,19,2026-03-20,2,0
CUST-0165,54,Female,Miami,Basic,20.62,20,3,6,18,2026-01-01,3,1
CUST-0166,40,Female,Los Angeles,Basic,15.4,38,8,5,20,2026-01-28,2,1
CUST-0167,56,Male,Miami,Basic,11.15,55,2,1,28,2026-03-03,5,0
CUST-0168,62,Female,Miami,Basic,16.39,4,11,6,2,2026-01-09,4,0
CUST-0169,32,Female,Houston,Standard,36.64,15,5,5,29,2026-04-29,3,0
CUST-0170,60,Female,Los Angeles,Premium,65.03,24,5,4,25,2026-01-10,1,1
CUST-0171,46,Female,New York,Basic,14.73,25,6,7,28,2026-06-18,1,1
CUST-0172,53,Female,New York,Basic,20.24,1,8,4,26,2026-04-14,4,0
CUST-0173,30,Female,Chicago,Basic,23.07,7,11,1,7,2026-02-08,1,1
CUST-0174,49,Female,New York,Basic,13.56,57,6,5,8,2026-02-03,5,0
CUST-0175,24,Female,Houston,Standard,44.68,31,13,0,19,2026-04-30,2,0
CUST-0176,68,Female,Miami,Standard,35.8,12,0,4,22,2026-01-15,4,1
CUST-0177,39,Female,Miami,Basic,14.01,42,14,5,15,2026-03-17,3,1
CUST-0178,45,Male,Miami,Basic,16.32,5,7,6,10,2026-05-21,2,1
CUST-0179,19,Male,Los Angeles,Basic,11.42,44,4,1,22,2026-04-16,1,1
CUST-0180,59,Male,New York,Premium,56.89,50,8,0,29,2026-03-22,1,1
CUST-0181,62,Male,Houston,Premium,61.22,42,9,5,1,2026-04-13,3,0
CUST-0182,23,Male,Los Angeles,Basic,21.44,38,12,2,6,2026-01-07,5,0
CUST-0183,45,Female,Chicago,Basic,23.5,12,14,4,13,2026-01-17,3,0
CUST-0184,45,Male,Houston,Premium,64.97,39,11,1,14,2026-03-26,4,0
CUST-0185,61,Female,Houston,Premium,56.58,18,4,0,3,2026-05-19,3,0
CUST-0186,61,Male,Houston,Basic,20.08,2,4,0,11,2026-04-14,1,0
CUST-0187,37,Female,Miami,Basic,19.53,10,14,3,3,2026-03-25,5,1
CUST-0188,47,Female,Houston,Basic,22.09,15,11,9,19,2025-12-31,5,0
CUST-0189,28,Male,New York,Standard,42.38,30,11,1,10,2026-03-18,3,0
CUST-0190,45,Female,Houston,Basic,23.02,44,13,0,27,2026-03-05,4,0
CUST-0191,42,Male,Miami,Basic,16.21,58,1,5,15,2025-12-26,1,1
CUST-0192,56,Female,Houston,Standard,40.47,17,11,3,11,2026-04-29,2,1
CUST-0193,50,Male,Chicago,Basic,14.02,4,10,9,15,2026-04-08,5,0
CUST-0194,18,Female,Chicago,Standard,44.99,7,2,6,26,2026-05-03,3,1
CUST-0195,44,Male,Miami,Basic,12.63,41,9,5,27,2026-02-28,4,0
CUST-0196,69,Female,New York,Basic,10.15,31,8,4,24,2026-02-27,4,0
CUST-0197,30,Female,New York,Standard,32.23,51,6,9,13,2026-03-18,1,1
CUST-0198,58,Male,Los Angeles,Basic,21.64,59,0,1,5,2026-05-27,5,0
CUST-0199,20,Male,Miami,Premium,61.7,55,2,4,4,2026-02-09,1,1
CUST-0200,56,Male,Houston,Standard,36.71,39,11,8,13,2025-12-24,2,1
CUST-0201,23,Male,Miami,Basic,24.33,55,1,8,9,2026-02-02,2,1
CUST-0202,25,Female,Los Angeles,Standard,43.79,34,0,1,25,2026-01-27,2,0
CUST-0203,44,Male,Miami,Basic,14.67,6,8,6,17,2026-03-05,4,1
CUST-0204,26,Male,Miami,Premium,58.14,50,7,9,2,2026-04-13,5,0
CUST-0205,54,Male,Los Angeles,Basic,22.73,38,14,3,24,2026-03-29,1,1
CUST-0206,50,Female,New York,Standard,43.59,45,4,2,5,2026-01-15,1,1
CUST-0207,68,Male,Houston,Basic,18.12,58,10,0,16,2026-03-28,2,1
CUST-0208,59,Male,Los Angeles,Basic,19.44,51,11,2,7,2026-02-22,5,0
CUST-0209,61,Male,Chicago,Premium,58.85,34,1,8,1,2026-04-10,5,0
CUST-0210,41,Male,New York,Premium,67.01,44,0,8,28,2026-06-01,3,0
CUST-0211,32,Female,Chicago,Basic,19.48,15,6,6,26,2026-05-25,5,0
CUST-0212,49,Male,New York,Basic,17.55,14,12,2,12,2026-06-13,5,0
CUST-0213,49,Male,Houston,Premium,55.9,6,10,2,21,2026-03-28,1,1
CUST-0214,41,Female,Houston,Premium,68.74,50,10,3,11,2026-04-21,5,0
CUST-0215,58,Female,Miami,Basic,19.23,37,14,6,12,2026-01-16,5,0
CUST-0216,69,Male,Chicago,Basic,12.89,50,1,6,19,2026-06-18,1,0
CUST-0217,66,Female,New York,Basic,19.1,32,0,1,26,2026-06-14,5,0
CUST-0218,66,Female,Houston,Premium,65.16,3,1,4,12,2026-06-17,1,1
CUST-0219,69,Male,Los Angeles,Basic,17.89,3,6,6,12,2026-02-08,3,1
CUST-0220,29,Female,Houston,Basic,20.77,22,6,6,14,2026-02-02,4,1
CUST-0221,56,Female,Los Angeles,Standard,38.72,22,9,5,2,2026-02-16,1,1
CUST-0222,19,Male,New York,Basic,24.22,10,5,9,2,2026-06-06,1,1
CUST-0223,20,Male,Houston,Basic,10.81,51,4,9,25,2026-06-08,5,0
CUST-0224,66,Male,Houston,Basic,11.59,3,2,7,29,2026-02-23,1,1
CUST-0225,54,Female,New York,Basic,12.61,12,13,2,4,2026-06-14,2,1
CUST-0226,66,Female,Houston,Basic,20.35,29,11,0,20,2026-03-09,2,0
CUST-0227,34,Female,Los Angeles,Standard,39.68,48,2,2,23,2026-06-15,3,0
CUST-0228,66,Male,Houston,Basic,23.38,17,10,1,26,2026-04-18,1,0
CUST-0229,19,Female,Chicago,Standard,40.99,7,12,1,16,2025-12-25,5,0
CUST-0230,19,Female,Miami,Premium,62.63,13,11,1,10,2026-05-22,5,0
CUST-0231,45,Male,Los Angeles,Standard,44.88,56,8,4,13,2026-05-30,4,0
CUST-0232,40,Male,Chicago,Basic,13.99,2,3,0,2,2026-01-19,3,0
CUST-0233,54,Female,New York,Basic,22.5,4,8,9,3,2026-01-16,5,0
CUST-0234,49,Male,Los Angeles,Basic,16.4,10,3,3,19,2026-02-23,4,1
CUST-0235,50,Female,Miami,Basic,19.73,39,1,9,6,2026-03-29,5,0
CUST-0236,18,Male,Miami,Basic,20.91,24,14,4,19,2026-01-05,4,0
CUST-0237,36,Male,New York,Standard,39.51,17,3,1,27,2026-02-08,2,0
CUST-0238,19,Male,New York,Basic,12.11,52,5,4,21,2026-01-29,2,0
CUST-0239,61,Male,Los Angeles,Basic,16.64,6,5,9,20,2026-03-23,5,0
CUST-0240,43,Female,Houston,Basic,18.42,19,4,3,19,2026-01-04,3,0
CUST-0241,49,Male,New York,Standard,42.74,5,14,7,8,2026-02-20,1,1
CUST-0242,23,Female,Houston,Basic,16.65,32,14,0,14,2026-03-07,3,0
CUST-0243,49,Female,Chicago,Standard,43.78,10,0,4,10,2026-04-13,3,0
CUST-0244,21,Female,Miami,Basic,16.61,9,2,9,3,2026-03-18,1,1
CUST-0245,28,Male,Houston,Premium,63.23,27,4,0,6,2026-04-05,2,0
CUST-0246,34,Female,Miami,Premium,66.94,13,5,9,29,2026-01-01,2,1
CUST-0247,55,Female,Houston,Basic,18.75,19,13,9,15,2026-06-20,1,1
CUST-0248,41,Male,Chicago,Basic,24.4,21,0,3,23,2026-01-22,4,0
CUST-0249,22,Male,New York,Basic,19.91,24,13,7,23,2026-04-20,3,0
CUST-0250,69,Female,Chicago,Basic,17.84,38,13,0,18,2026-01-18,5,0
CUST-0251,51,Female,New York,Standard,30.35,4,8,1,14,2026-06-03,2,1
CUST-0252,23,Male,New York,Premium,61.21,24,13,0,19,2026-05-04,5,1
CUST-0253,39,Female,Miami,Standard,34.49,59,2,6,28,2026-02-04,1,1
CUST-0254,28,Female,Chicago,Premium,66.22,35,9,1,26,2026-06-20,5,0
CUST-0255,65,Female,Houston,Basic,13.12,3,12,0,10,2026-02-04,5,0
CUST-0256,33,Female,Chicago,Basic,13.08,4,2,5,15,2026-01-21,3,1
CUST-0257,50,Female,Miami,Standard,32.84,57,10,5,4,2026-03-06,1,1
CUST-0258,26,Male,New York,Basic,11.88,37,1,9,23,2025-12-30,5,1
CUST-0259,23,Male,Miami,Standard,34.67,40,7,1,2,2026-02-11,2,1
CUST-0260,33,Male,Los Angeles,Basic,23.29,48,14,0,3,2026-01-30,1,0
CUST-0261,46,Female,Los Angeles,Basic,21.62,54,12,9,7,2026-05-14,2,1
CUST-0262,20,Female,Houston,Premium,66.03,35,2,2,23,2026-05-12,4,0
CUST-0263,37,Male,Miami,Basic,21.96,31,5,9,16,2026-03-31,5,0
CUST-0264,53,Female,Houston,Premium,59.04,56,1,4,10,2026-06-05,1,1
CUST-0265,36,Female,Houston,Premium,68.31,44,6,5,19,2026-02-14,2,1
CUST-0266,43,Female,Los Angeles,Standard,32.06,25,12,2,28,2026-02-24,5,0
CUST-0267,20,Male,Houston,Standard,35.05,40,3,8,17,2026-03-20,3,0
CUST-0268,36,Female,Los Angeles,Standard,38.8,13,8,4,28,2026-02-07,2,1
CUST-0269,37,Male,New York,Premium,56.54,4,13,1,19,2026-06-18,2,1
CUST-0270,49,Male,Miami,Basic,20.95,46,9,9,5,2026-06-07,4,0
CUST-0271,24,Male,Houston,Basic,15.81,14,8,5,23,2026-04-16,3,1
CUST-0272,69,Male,Los Angeles,Standard,41.77,13,6,7,20,2026-03-18,4,0
CUST-0273,58,Male,Chicago,Basic,17.39,27,14,5,13,2026-03-27,3,1
CUST-0274,50,Female,Houston,Basic,12.71,6,11,3,13,2026-02-27,2,0
CUST-0275,57,Male,New York,Basic,21.02,17,7,5,11,2026-01-13,4,0
CUST-0276,56,Female,New York,Standard,33.78,36,2,7,11,2026-01-11,5,1
CUST-0277,35,Male,Chicago,Premium,62.36,40,10,7,16,2026-02-12,3,1
CUST-0278,57,Female,Los Angeles,Basic,11.13,49,4,9,15,2025-12-31,2,0
CUST-0279,18,Female,Houston,Premium,64.27,35,1,1,17,2026-06-06,1,0
CUST-0280,28,Male,Los Angeles,Standard,39.99,17,9,7,22,2026-05-15,3,1
CUST-0281,45,Male,New York,Premium,60.68,41,6,5,18,2026-01-17,3,0
CUST-0282,42,Male,Los Angeles,Standard,44.32,2,12,1,28,2025-12-27,5,1
CUST-0283,67,Female,New York,Standard,43.11,57,7,0,19,2026-05-25,3,0
CUST-0284,40,Female,Los Angeles,Basic,20.62,13,8,5,4,2026-06-09,3,0
CUST-0285,48,Male,Chicago,Premium,65.7,52,10,6,22,2026-04-15,5,0
CUST-0286,47,Female,Miami,Basic,13.79,2,10,9,22,2026-05-22,5,0
CUST-0287,59,Male,Chicago,Premium,64.85,52,6,4,23,2026-03-17,4,0
CUST-0288,52,Male,Chicago,Premium,57.97,28,9,9,5,2026-02-06,2,1
CUST-0289,24,Female,Miami,Basic,12.16,43,14,7,7,2026-05-18,2,0
CUST-0290,33,Male,Miami,Basic,24.99,59,9,8,2,2026-05-20,4,1
CUST-0291,43,Female,Houston,Standard,39.34,26,12,3,1,2026-02-24,2,1
CUST-0292,65,Male,Houston,Basic,16.46,22,7,6,12,2026-05-13,3,1
CUST-0293,69,Female,Chicago,Premium,59.32,47,11,7,10,2026-03-17,4,0
CUST-0294,66,Male,Chicago,Basic,19.06,43,8,5,8,2026-01-01,4,1
CUST-0295,19,Male,New York,Basic,10.74,55,5,1,1,2026-01-01,2,1
CUST-0296,18,Female,New York,Premium,56.42,3,11,6,12,2026-02-10,1,1
CUST-0297,65,Male,Houston,Standard,30.49,35,11,8,2,2025-12-29,2,1
CUST-0298,29,Female,Houston,Premium,62.49,58,9,4,27,2026-01-12,1,1
CUST-0299,22,Female,New York,Basic,19.01,12,1,1,28,2026-05-09,4,0
CUST-0300,54,Female,New York,Standard,30.94,24,1,3,10,2026-04-01,1,1
CUST-0301,49,Female,Los Angeles,Standard,40.82,5,3,2,22,2026-06-18,3,0
CUST-0302,26,Female,Los Angeles,Standard,33.46,20,14,3,17,2026-04-08,5,0
CUST-0303,58,Female,New York,Standard,40.28,39,8,9,26,2026-02-24,1,1
CUST-0304,52,Female,Los Angeles,Standard,44.73,39,6,6,3,2026-04-19,5,1
CUST-0305,36,Female,Miami,Basic,20.37,13,1,9,7,2026-03-02,3,0
CUST-0306,65,Male,Houston,Basic,23.25,41,7,7,12,2026-05-12,5,0
CUST-0307,33,Male,Houston,Standard,44.22,57,10,0,8,2026-06-03,3,0
CUST-0308,20,Female,New York,Basic,17.3,53,6,7,20,2026-04-15,5,1
CUST-0309,37,Male,Chicago,Standard,40.53,45,8,4,12,2026-03-10,5,0
CUST-0310,41,Male,New York,Basic,22.78,12,7,6,3,2026-02-03,2,1
CUST-0311,50,Male,Los Angeles,Standard,35.35,13,2,0,17,2025-12-23,1,1
CUST-0312,41,Male,Chicago,Standard,33.92,56,0,1,28,2026-05-06,5,0
CUST-0313,69,Female,Los Angeles,Basic,24.2,10,1,0,9,2026-04-27,4,0
CUST-0314,28,Female,Miami,Basic,20.89,33,14,4,10,2025-12-29,2,1
CUST-0315,66,Male,Los Angeles,Basic,13.3,57,13,5,22,2026-04-07,1,1
CUST-0316,25,Female,Miami,Standard,36.74,40,12,9,6,2026-03-16,2,1
CUST-0317,53,Female,Miami,Premium,66.95,54,1,8,25,2026-05-26,1,1
